Site,Location,Pool_type,Date,d13C,F14C,yBSD,abs254,E4E6,SUVA
P01,Cross Lochs,Natural,05/11/2014,-27,0.9993,244,22.7,3.4,2.969921369
P01,Cross Lochs,Natural,15/09/2015,-26.7,1.0013,241,12.1,NA,1.856767996
P04,Cross Lochs,Natural,05/11/2014,-26.5,1.0397,74,22.8,9,2.256688409
P04,Cross Lochs,Natural,15/09/2015,-25.4,0.969,348,27,9,1.550236267
P06,Cross Lochs,Natural,05/11/2014,-27.4,1.0469,70,18.6,2.5,2.149468989
P06,Cross Lochs,Natural,15/09/2015,-25.4,1.0043,226,28.3,NA,1.599168207
P07,Cross Lochs,Restoration,05/11/2014,-29,1.0466,70,45,4.75,3.604816034
P07,Cross Lochs,Restoration,15/09/2015,-29,1.0725,49,84.9,10.6667,3.67744199
P09,Cross Lochs,Restoration,05/11/2014,-28.8,1.0707,50,49.2,4.3333,3.783654918
P09,Cross Lochs,Restoration,15/09/2015,-28.6,1.075,47,98.1,11,3.62974392
P10,Cross Lochs,Restoration,05/11/2014,-29,1.0849,42,45.8,1.6207,4.303176646
P10,Cross Lochs,Restoration,15/09/2015,-28.8,1.0962,37,109.5,11.5,4.220189851
